ds,Осадки,Влажность,Давление,Направление ветра,Скорость ветра,Температура,NO,NO2,CO,PM10
2021-02-14 04:00:00,0.011800864793843204,78.53853662423926,764.1448389076797,15.32422281200057,0.32855256861785626,-3.5496906532163575,0.014173404444793748,0.042702738295334136,0.34822850780650033,0.028901430843009862
2021-02-14 04:20:00,0.011835833492015693,78.54912180145033,764.1243801800745,15.294952264113633,0.32805680092936035,-3.533065886332503,0.014271607826984216,0.04248318914379578,0.3474300711562154,0.028678860807761664
2021-02-14 04:40:00,0.011870964051632443,78.55963050273115,764.1039253858979,15.266326304262584,0.3275618809534764,-3.516452356597643,0.014657979779661025,0.04254526270980842,0.3480553548539213,0.028553249860176988
2021-02-14 05:00:00,0.011906255589726352,78.57006224828862,764.0834817178738,15.238343957603604,0.3270678098004955,-3.4998503395074296,0.015333295517076538,0.0428859550095258,0.3503063752036797,0.028528700298897036
2021-02-14 05:20:00,0.011941707219295536,78.58041656055501,764.0630562421144,15.211004229987381,0.3265745885455196,-3.483260110285956,0.016277335505881865,0.04348649691747706,0.35428835654321883,0.02860398337185161
2021-02-14 05:40:00,0.011977318049003632,78.59069296420992,764.0426558916353,15.184306107933203,0.32608221822907413,-3.466681943902673,0.01745011322410153,0.04431303692970439,0.3599858211388916,0.028772433402216153
2021-02-14 06:00:00,0.012013087183562237,78.60089098621845,764.0222874599201,15.158248558710596,0.3255906998563908,-3.4501161150511823,0.018794945842358565,0.04531857176824574,0.36725034598270506,0.029022249405423108
2021-02-14 06:20:00,0.01204901372344033,78.6110101558072,764.0019575948256,15.132830530359257,0.32510003439824164,-3.4335628981530455,0.020243070630349122,0.04644598759207849,0.37580195923360116,0.02933718811797716
2021-02-14 06:40:00,0.01208509676514347,78.62105000450865,763.9816727925588,15.10805095188924,0.3246102227914571,-3.4170225673563177,0.021719349527572526,0.047631962991522524,0.38524461218060235,0.029697595199833973
2021-02-14 07:00:00,0.01212133540109367,78.63101006617727,763.9614393918617,15.083908733212823,0.324121265938152,-3.4004953965001032,0.023148493412172462,0.04881139735145449,0.3950945463600451,0.03008168929248109
2021-02-14 07:20:00,0.012157728719636184,78.6408898769855,763.9412635684732,15.060402765217212,0.3236331647066035,-3.383981659150993,0.024461188325204053,0.049921974258671654,0.4048188704883383,0.030466990033982375
2021-02-14 07:40:00,0.012194275805161824,78.65068897546773,763.9211513296724,15.03753191985777,0.3231459199308209,-3.3674816285572993,0.02559952338950822,0.05090845540138854,0.41388044687224185,0.030831768541141707
2021-02-14 08:00:00,0.012230975738116032,78.66040690249535,763.9011085091503,15.015295050367364,0.32265953241235834,-3.35099557768177,0.026521201936116904,0.05172632747171935,0.42178440725001887,0.031156398533804693
2021-02-14 08:20:00,0.012267827594899906,78.67004320133887,763.8811407619936,14.993690990937608,0.32217400291755244,-3.3345237791462043,0.027202153807841776,0.05234449007997272,0.4281213689130001,0.031424498140764465
2021-02-14 08:40:00,0.012304830448094009,78.67959741765576,763.8612535599968,14.972718557283507,0.32168933218121676,-3.3180665052890657,0.02763734211508341,0.05274676943610741,0.43260273580660524,0.031623775064383096
2021-02-14 09:00:00,0.012341983366285742,78.68906909951605,763.8414521870634,14.952376546313282,0.321205520903845,-3.301624028090705,0.027839751948738084,0.05293216007454816,0.4350843132477426,0.031746518641864986
2021-02-14 09:20:00,0.012379285414226789,78.69845779740797,763.8217417349626,14.932663736318077,0.3207225697532631,-3.2851966192233446,0.027837739726019172,0.05291382237140426,0.43557574238489627,0.031789717957011236
2021-02-14 09:40:00,0.012416735652803424,78.70776306425122,763.8021270992524,14.913578887225185,0.3202404793655008,-3.268784550019376,0.027671088766572323,0.052716983579496626,0.4342348250802338,0.03175482164625114
2021-02-14 10:00:00,0.012454333139061649,78.7169844554367,763.7826129754111,14.895120740353278,0.3197592503428842,-3.252388091454394,0.027386241130787442,0.052375991781508015,0.4313474798836566,0.031647188452237004
2021-02-14 10:20:00,0.012492076926300659,78.72612152881322,763.7632038552874,14.877288018681092,0.3192788832561153,-3.236007514178711,0.027031244703265834,0.05193084501316336,0.42729565198408637,0.03147530441703644
2021-02-14 10:40:00,0.012529966064002307,78.73517384472669,763.7439040237218,14.860079426918382,0.3187993786436137,-3.2196430884638243,0.026650961512709497,0.05142355462696081,0.42251681102325284,0.031249860176946836
2021-02-14 11:00:00,0.012567999597855515,78.74414096600593,763.72471755546,14.843493651497631,0.31832073701210195,-3.2032950842408505,0.02628302916399009,0.05089469971170328,0.4174595593774521,0.03098278854516792
2021-02-14 11:20:00,0.012606176569905772,78.75302245801365,763.7056483122421,14.827529360645102,0.31784295883608993,-3.1869637710569227,0.025954959847387084,0.050380489400833416,0.4125402384908346,0.030686358128537285
2021-02-14 11:40:00,0.012644496018448675,78.76181788862554,763.6866999402691,14.812185204563662,0.31736604455931217,-3.1706494181049116,0.02568261456843466,0.04991057778287721,0.40810522272117244,0.030372404093156953
2021-02-14 12:00:00,0.012682956978121353,78.77052682828187,763.6678758677466,14.797459815345782,0.31688999459342027,-3.1543522941793523,0.025470122126425288,0.04950678088990039,0.4044028554898765,0.030051754462563484
2021-02-14 12:20:00,0.012721558479948176,78.77914884996936,763.6491793028604,14.783351807234013,0.31641480931962085,-3.1380726677070427,0.025311143209192352,0.049182738353235333,0.4015678013282847,0.029733882488077193
2021-02-14 12:40:00,0.012760299551213009,78.78768352923521,763.6306132318797,14.769859776456727,0.3159404890879107,-3.1218108067192976,0.02519122960019669,0.04894445619736072,0.39961910126810996,0.02942678612632225
2021-02-14 13:00:00,0.012799179215780433,78.79613044425517,763.6121804175465,14.756982301557699,0.31546703421752653,-3.105566978844694,0.02509091409153646,0.04879157393550063,0.39847160520727504,0.029137068060855437
2021-02-14 13:20:00,0.012838196493780794,78.80448917577294,763.5938833977782,14.744717943282808,0.31499444499751933,-3.089341451317873,0.024989100698032833,0.048719128795077046,0.3979589041757333,0.02887016721204581
2021-02-14 13:40:00,0.012877350401929374,78.8127593071784,763.5757244845303,14.733065244772114,0.3145227216864301,-3.073134490958461,0.024866313513354124,0.048719549739539666,0.39786458002909597,0.028630677773712584
2021-02-14 14:00:00,0.012916639953328549,78.82094042446387,763.5577057630161,14.72202273143811,0.3140518645124352,-3.0569463641792494,0.024707405619264267,0.04878460742150546,0.3979576818567384,0.028422686003894075
2021-02-14 14:20:00,0.01295606415768608,78.82903211629562,763.5398290911078,14.71158891138446,0.31358187367441737,-3.0407773369599695,0.02450341983758835,0.048907072657818414,0.39802793063058856,0.028250058593148407
2021-02-14 14:40:00,0.012995622021176868,78.83703397399316,763.5220960990385,14.70176227521879,0.31311274934162536,-3.024627674876019,0.024252418170449538,0.04908189093078026,0.3979162894487042,0.02811662861972394
2021-02-14 15:00:00,0.013035312546571882,78.84494559154676,763.5045081893303,14.692541296100444,0.3126444916530564,-3.008497643047342,0.023959239908107183,0.04930675599504658,0.3975371939633682,0.02802624398665792
2021-02-14 15:20:00,0.013075134733200367,78.85276656563809,763.487066537029,14.683924430002506,0.31217710071910587,-2.9923875061668674,0.02363429112025022,0.04958205184671645,0.3968898319123542,0.027982666169868893
2021-02-14 15:40:00,0.013115087577106086,78.86049649566141,763.4697720901391,14.675910115760125,0.31171057662153273,-2.976297528496243,0.023291592529364226,0.04991021805762569,0.39605725602771874,0.027989330970425406
2021-02-14 16:00:00,0.013155170070852193,78.86813498372382,763.4526255703191,14.66849677492415,0.31124491941206744,-2.96022797381952,0.0229464032584836,0.0502946681466247,0.3951936399335367,0.028049004620847542
2021-02-14 16:20:00,0.013195381203805846,78.87568163466062,763.4356274738888,14.661682812121775,0.3107801291148867,-2.9441791054951887,0.022612783780932882,0.05073844526624566,0.39450145644917967,0.02816338522643798
2021-02-14 16:40:00,0.013235719961942363,78.88313605606264,763.418778073007,14.655466614994062,0.3103162057252286,-2.9281511863964704,0.022301457607957025,0.051242827817631204,0.3942015946562347,0.02833270903095337
2021-02-14 17:00:00,0.013276185327993364,78.89049785827058,763.4020774171692,14.649846554307175,0.30985314921046625,-2.9121444789442386,0.02201827923478874,0.051806096883201376,0.394500288178686,0.028555422216458036
2021-02-14 17:20:00,0.013316776281491062,78.89776665440188,763.3855253348886,14.644820984060509,0.30939095950997625,-2.8961592450807085,0.02176352317893633,0.052422648580581904,0.3955571014246137,0.028827971814207508
2021-02-14 17:40:00,0.013357491798679039,78.90494206036372,763.369121435677,14.640388241400679,0.3089296365349536,-2.8801957462745182,0.021532088311971488,0.05308258208539315,0.39745807114152976,0.029144754822762426
2021-02-14 18:00:00,0.013398330852692524,78.91202369486348,763.3528651122174,14.63654664700065,0.30846918016956204,-2.8642542435000387,0.021314579318123663,0.053771825607417584,0.4001974493919904,0.029498244765456403
2021-02-14 18:20:00,0.01343929241348444,78.91901117942614,763.3367555428262,14.63329450492499,0.30800959027060837,-2.8483349972520147,0.02109910066989533,0.05447278736932974,0.4036704235499198,0.029879292305978366
2021-02-14 18:40:00,0.013480375447875698,78.92590413838883,763.3207916941193,14.630630102695477,0.3075508666675861,-2.832438267530443,0.020873494814842193,0.055165446756861525,0.4076778323632818,0.030277574186152036
2021-02-14 19:00:00,0.013521578919528036,78.93270219895214,763.3049723238793,14.628551711493422,0.3070930091629418,-2.816564313818856,0.020627689192208767,0.055828741733967714,0.4119424215877682,0.0306821455855565
2021-02-14 19:20:00,0.013562901789162175,78.93940499115605,763.2892959842421,14.627057586257585,0.3066360175332336,-2.8007133951140135,0.020355795381953787,0.05644207011157231,0.4161347691604709,0.03108203758452717
2021-02-14 19:40:00,0.013604343014351594,78.94601214790663,763.2737610250092,14.626145965542783,0.3061798915273304,-2.784885769876274,0.020057631347003245,0.05698670925108701,0.41990583081326016,0.0314668355306858
2021-02-14 20:00:00,0.013645901549696512,78.95252330500388,763.2583655972312,14.625815071926404,0.30572463086923723,-2.769081696072516,0.019739411253595043,0.0574469728092361,0.422922255315129,0.03182717656582123
2021-02-14 20:20:00,0.013687576346805098,78.9589381011201,763.2431076570057,14.626063111793535,0.3052702352557086,-2.75330143112142,0.019413457629729024,0.05781096223751777,0.42490029103197635,0.0321551151404397
2021-02-14 20:40:00,0.013729366354360738,78.9652561778605,763.2279849694664,14.626888275717441,0.3048167043589965,-2.737545231934254,0.019096923669268302,0.05807082953186579,0.42563428989193264,0.03244432266467514
2021-02-14 21:00:00,0.013771270518055101,78.97147717972621,763.2129951129921,14.628288738167932,0.30436403782430266,-2.7218133548635812,0.01880965218685055,0.05822253830242918,0.42501648695391825,0.03269010934441484
2021-02-14 21:20:00,0.013813287780722792,78.97760075415684,763.1981354836221,14.630262658071203,0.30391223527308425,-2.7061060557365444,0.018571423962255945,0.058265183003494744,0.42304580914019085,0.03288927987241883
2021-02-14 21:40:00,0.013855417082311878,78.9836265515429,763.18340329963,14.632808178407089,0.30346129630049967,-2.690423589833717,0.018398945132363752,0.05819999123368093,0.4198248121039827,0.03303985691424524
2021-02-14 22:00:00,0.013897657360008475,78.98955422522641,763.168795606335,14.635923426654053,0.3030112204770943,-2.6747662118697004,0.0183029774928058,0.0580291823614356,0.4155452934256497,0.033140724272660044
2021-02-14 22:20:00,0.013940007548059036,78.99538343151275,763.1543092810804,14.639606514716775,0.3025620073491798,-2.659134176012839,0.018286018811867935,0.05775488044622108,0.41046450493519715,0.0331912527893432
2021-02-14 22:40:00,0.013982466578041149,79.00111382970832,763.1399410383594,14.643855539113702,0.30211365643835336,-2.6435277358619294,0.01834089055907526,0.05737827658263232,0.404875017668677,0.033190974823606716
2021-02-14 23:00:00,0.014025033378714913,79.00674508209129,763.1256874351681,14.648668580817592,0.30166616724153056,-2.627947144449088,0.018450492506058517,0.05689920506974424,0.3990720411986406,0.03313936696007518
2021-02-14 23:20:00,0.01406770687621528,79.0122768539649,763.1115448764846,14.654043705746872,0.3012195392324196,-2.612392654226369,0.018588848268180636,0.05631624247548395,0.3933222726443319,0.03303578601192824
2021-02-14 23:40:00,0.014110485993815425,79.0177088136344,763.0975096209307,14.659978964445315,0.30077377186042253,-2.5968645170762272,0.018723408808615893,0.05562736536861876,0.38783811671804114,0.032879582055373155
2021-02-15 00:00:00,0.01415336965229233,79.02304063245137,763.0835777865377,14.666472392535987,0.300328864551881,-2.581362984277824,0.018818421058263035,0.05483112033623031,0.3827604055159681,0.03267038671895886
2021-02-15 00:20:00,0.014196356769735845,79.02827198479281,763.0697453567533,14.673522010446504,0.29988481670919265,-2.5658883065338305,0.018839025760317412,0.053928179454434885,0.378151643971701,0.032408548417025736
2021-02-15 00:40:00,0.01423944626161841,79.03340254810585,763.056008186498,14.681125823792712,0.2994416277122729,-2.5504407339472275,0.018755640524366915,0.05292308627122467,0.3740004502524297,0.03209566204242374
2021-02-15 01:00:00,0.01428263704085489,79.0384320028987,763.0423620083905,14.689281823421013,0.29899929691807275,-2.5350205160072763,0.01854812513072033,0.05182595102791946,0.37023641823786974,0.03173512200779001
2021-02-15 01:20:00,0.014325928017801734,79.04336003275164,763.0288024390978,14.697987985235905,0.2985578236604215,-2.519627901609801,0.01820922504350822,0.05065383626419878,0.36675328073265423,0.03133261704363405
2021-02-15 01:40:00,0.014369318100392409,79.04818632434116,763.0153249858198,14.707242270693385,0.2981172072512225,-2.5042631390206944,0.017746847768881992,0.04943158871410735,0.3634371656037951,0.030896484489890352
2021-02-15 02:00:00,0.014412806193942591,79.052910567441,763.0019250528561,14.717042626582852,0.2976774469802751,-2.4889264759067515,0.017184839953569404,0.04819192024495102,0.36019604954861795,0.030437851487383427
2021-02-15 02:20:00,0.014456391201438712,79.05753245494704,762.988597948274,14.727386985332608,0.297238542115371,-2.4736181592920055,0.01656208914621444,0.04697461519227619,0.3569863138851143,0.029970509747321256
2021-02-15 02:40:00,0.014500072023404361,79.0620516828543,762.9753388907474,14.738273264817146,0.2968004919021252,-2.458338435580546,0.015929955854376683,0.04582483605990193,0.3538326227297468,0.029510497571255904
2021-02-15 03:00:00,0.01454384755798573,79.0664679503266,762.9621430163436,14.7496993688276,0.2963632955653801,-2.4430875505360943,0.01534822842886521,0.044790603600431744,0.3508381415138363,0.029075394599772146
