ds,Осадки,Влажность,Давление,Направление ветра,Скорость ветра,Температура,NO,NO2,CO,PM2.5,PM10
2021-01-07 05:40:00,0.012804064211077354,89.0670593336357,759.5522818752085,78.73767606883384,0.3860910640983276,-4.365919934923914,0.024980287724613498,0.04165271528735551,0.30905926374304427,0.014910660712448818,0.02169912497036904
2021-01-07 06:00:00,0.01282461057979142,89.06424749287079,759.5580375260444,78.5803727045848,0.38525281138990947,-4.36501091554775,0.025281601084314036,0.04204444834603345,0.31387973112826784,0.01492983515535117,0.021731260804085065
2021-01-07 06:20:00,0.012844962695700167,89.0614294275127,759.5635120263495,78.42312418711768,0.38441508376090294,-4.364084009676182,0.025658722569662895,0.042519188776057065,0.31925718947013837,0.014956800055482979,0.02177097710145878
2021-01-07 06:40:00,0.012865120093624128,89.05860525556197,759.5687032817784,78.26593502973843,0.38357791067632513,-4.363139176846901,0.026097980152438582,0.04305183555176683,0.32488566173782146,0.014990119972736159,0.021816150928583192
2021-01-07 07:00:00,0.012885082315463342,89.0557750950034,759.5736094597488,78.10880975404407,0.38274132164884433,-4.362176377162851,0.02658202798923087,0.0436141669123192,0.3304467356315618,0.0150283044979613,0.021863849981009223
2021-01-07 07:20:00,0.012904848910276944,89.05293906381354,759.5782289875943,77.9517528903235,0.3819053462400438,-4.361195571307078,0.027091141715184036,0.044176708121885705,0.3356321534407136,0.01506988613262325,0.02191040845607827
2021-01-07 07:40:00,0.012924419434184342,89.05009727993153,759.5825605504701,77.79476897681533,0.38107001405667623,-4.360196720531941,0.027604673509612702,0.044710729103364086,0.34016611441310984,0.015113486081723177,0.02195160827464035
2021-01-07 08:00:00,0.012943793450474342,89.0472498613052,759.5866030888343,77.63786256017946,0.3802353547525391,-4.359179786671665,0.028102537639375633,0.04519019599444445,0.3438252524921304,0.015157864351486503,0.0219829549597339
2021-01-07 08:20:00,0.01296297052959927,89.0443969258348,759.5903557956811,77.48103819472696,0.37940139802435724,-4.3581447321394275,0.028566595999288624,0.045593502030626225,0.34645441776169206,0.015201952139806603,0.02200002413348878
2021-01-07 08:40:00,0.012981950249171864,89.04153859139814,759.593818113411,77.32430044280973,0.37856817361361805,-4.357091519933747,0.028981824781301596,0.045904822808664335,0.3479767559675838,0.015244866188911372,0.021998843813314968
2021-01-07 09:00:00,0.013000732193930773,89.03867497583165,759.5969897304296,77.16765387424351,0.37773571130306005,-4.356020113630027,0.029337166564783433,0.04611497703795303,0.3483971124017798,0.01528590637990693,0.0219762709264359
2021-01-07 09:20:00,0.013019315955856604,89.03580619694698,759.5998705773993,77.01110306647558,0.3769040409173243,-4.354930477400292,0.0296260043051963,0.046221722540821075,0.3477984298962702,0.015324539239605195,0.02193031868476035
2021-01-07 09:40:00,0.013037701134053352,89.03293237248634,759.6024608232202,76.85465260425458,0.37607319232118785,-4.353822575997517,0.029846231510178553,0.04622947331870483,0.34633149830594023,0.01536037108461257,0.021860395030783297
2021-01-07 10:00:00,0.013055887334909725,89.03005362016481,759.604760870703,76.69830707944455,0.37524319541798173,-4.352696374770352,0.029999932316614457,0.046148480857741904,0.34419907107222525,0.015393115160891464,0.021767420977475187
2021-01-07 10:20:00,0.013073874171934044,89.0271700576282,759.6067713519996,76.54207109116183,0.3744140801504189,-4.351551839660974,0.03009272214596881,0.04599357528387617,0.34163592227270223,0.0154225573136206,0.021653810387827273
2021-01-07 10:40:00,0.013091661265963304,89.02428180248404,759.6084931236703,76.38594924518094,0.37358587649662856,-4.350388937206426,0.03013283033962607,0.04578260378618658,0.33888681417106825,0.01544852444935113,0.02152330811060197
2021-01-07 11:00:00,0.013109248244944314,89.02138897225228,759.6099272615804,76.22994615415155,0.3727586144716548,-4.349207634537733,0.03013002763819151,0.04553473042202795,0.33618453744249066,0.015470859381667796,0.02138069959833719
2021-01-07 11:20:00,0.013126634744163436,89.01849168439819,759.6110750554795,76.07406643722959,0.37193232412488386,-4.348007899391275,0.030094511607171665,0.0452687702055558,0.3337301527516005,0.015489404672168338,0.021231420226627804
2021-01-07 11:40:00,0.013143820406081046,89.01559005631765,759.6119380033128,75.9183147200905,0.37110703553991037,-4.346789700099675,0.030035861410969728,0.045001720509078136,0.3316773070913693,0.01550399690321808,0.02108110466733392
2021-01-07 12:00:00,0.013160804880461017,89.01268420532156,759.6125178053624,75.76269563458499,0.37028277883235416,-4.345553005605102,0.029962160293049343,0.044747625603801314,0.3301220491941014,0.015514471575121848,0.02093512431427573
2021-01-07 12:20:00,0.013177587824331182,89.00977424864304,759.6128163580629,75.60721381871055,0.3694595841497384,-4.344297785449621,0.029879361540124966,0.04451686892416025,0.3290989749360598,0.015520677633263365,0.020798162919021344
2021-01-07 12:40:00,0.013194168901973086,89.00686030344316,759.6128357476696,75.4518739165689,0.36863748167069693,-4.343024009787167,0.029790944370276705,0.04431593717286459,0.32858386088304825,0.015522499613171346,0.020673876899948502
2021-01-07 13:00:00,0.013210547784952262,89.00394248676812,759.6125782436712,75.29668057786624,0.36781650160231605,-4.341731649380861,0.02969787351974292,0.044147646517097475,0.32850226549076983,0.015519884630971948,0.020564677581762097
2021-01-07 13:20:00,0.01322672415208171,89.00102091557517,759.6120462919953,75.141638458013,0.366996674180019,-4.340420675599975,0.0295988439744,0.044011769974414736,0.328742966350295,0.01551287099973699,0.020471658904120567
2021-01-07 13:40:00,0.013242697689583539,88.99809570674,759.6112425080487,74.98675221801281,0.3661780296670845,-4.339091060438447,0.02949076378078653,0.04390596236865145,0.3291746235539742,0.01550161513952073,0.020394677459936093
2021-01-07 14:00:00,0.013258468090827348,88.99516697701803,759.6101696695462,74.83202652415379,0.36536059835259527,-4.3377427764914245,0.02936940610252463,0.043826849631022145,0.3296637635983169,0.015486413656690644,0.02033257402216533
2021-01-07 14:20:00,0.013274035056663806,88.99223484306091,759.6088307091745,74.67746604784728,0.36454441055040815,-4.336375796984997,0.029230148685776332,0.043771135796918485,0.3300920940989399,0.015467717951243807,0.020283509056525425
2021-01-07 14:40:00,0.013289398295084836,88.98929942140317,759.6072287071173,74.52307546564982,0.3637294965988619,-4.334990095755098,0.029068715622905434,0.0437365849886028,0.3303712919991506,0.015446139401872984,0.020245371085322733
