ds,Осадки,Влажность,Давление,Направление ветра,Скорость ветра,Температура,CO,NO,NO2,PM10,PM2.5
2021-01-23 12:40:00,0.022601105960419348,90.47775663375967,759.46767722187,150.04022275091265,2.184346629481229,-4.426470904978412,0.3100365149901922,0.022810497247789222,0.028965109691055153,0.022202516960482345,0.013916950879284583
2021-01-23 13:00:00,0.022600152686563346,90.4783549065384,759.4709287138489,149.83563764468053,2.1837937210169214,-4.428400096593973,0.30989958258772543,0.022411742675946332,0.028529988402789884,0.02173766025132977,0.013836250238201472
2021-01-23 13:20:00,0.022599141659665894,90.47900272137812,759.4744289316658,149.63093434159057,2.183243488390858,-4.430305623987191,0.3106923775468593,0.022053033715252107,0.02821765148615932,0.021344558093634634,0.013808798035895267
2021-01-23 13:40:00,0.022598073330540102,90.47970014707634,759.4781806899286,149.42611705900754,2.182695944689656,-4.432187488814307,0.3123325032756581,0.021746680961336848,0.028036610470407085,0.021043931368183985,0.013842315769527005
2021-01-23 14:00:00,0.022596948152165227,90.48044725080315,759.4821867011656,149.2211900184925,2.182151102899337,-4.434045693585581,0.31463943650155696,0.021495756591092176,0.02798600193561774,0.02084716480180919,0.013939081923951473
2021-01-23 14:20:00,0.022595766579660167,90.48124409809341,759.4864495787446,149.01615744529693,2.1816089759046324,-4.435880241668838,0.31736446424158327,0.02129462400525756,0.028056717952628825,0.02075574850082857,0.014095571496652432
2021-01-23 14:40:00,0.022594529070265695,90.48209075287761,759.4909718398592,148.81102356876121,2.1810695764893464,-4.437691137291425,0.3202277164925791,0.02113040728123277,0.02823324759643505,0.020761777286259282,0.014302704774394544
2021-01-23 15:00:00,0.02259323608332741,90.48298727743517,759.4957559085551,148.6057926216598,2.180532917335031,-4.439478385537335,0.3229576275488054,0.02098520089629637,0.028496002039913405,0.020849428561647496,0.014546682950622614
2021-01-23 15:20:00,0.022591888080295042,90.48393373240562,759.5008041188306,148.40046884049588,2.179999011020743,-4.441241992343909,0.3253279456299048,0.02083874254705756,0.02882385112218778,0.020997230489811527,0.014810322250011495
2021-01-23 15:40:00,0.022590485524634402,90.4849301768076,759.5061187177615,148.1950564653086,2.179467870023746,-4.442981964512868,0.32718778254913794,0.020671227475448178,0.029196585386944987,0.02118084590146744,0.015074742219709133
