ds,Осадки,Влажность,Давление,Направление ветра,Скорость ветра,Температура,CO,NO,NO2,PM2.5,PM10
2021-02-23 12:20:00,0.022490784675622523,76.02269387659791,745.3381014120519,23.7777843608017,1.5703023878949387,-2.957297914844413,0.5644781436393762,0.021555110087719823,0.04394590087834174,0.01587571475900508,0.012303552826799041
2021-02-23 12:40:00,0.02248555689807131,76.01981860432288,745.3420175729163,23.731806500165742,1.5707817070904315,-2.9668704508451444,0.5634545085928137,0.021265111518146057,0.04360401241055571,0.015839131858576553,0.01230398816389869
2021-02-23 13:00:00,0.022480346405085307,76.01713087495293,745.346609099657,23.68626241442331,1.571264370521098,-2.9764345166806017,0.5629279961144675,0.021025963865414075,0.04330697561623903,0.015804650116093947,0.012304364984635406
2021-02-23 13:20:00,0.022475154147169787,76.01463097361432,745.3518616814223,23.641153977035568,1.5717503770914392,-2.9859898469386623,0.5629399122624232,0.020838965972262286,0.04307074793236575,0.015773892475836156,0.012304945559591192
2021-02-23 13:40:00,0.022469981074183278,76.01231918030112,745.3577608684948,23.5964830528209,1.5722397256382528,-2.995536176455535,0.563479215041055,0.020700845658475624,0.042911289837376,0.015748449516432908,0.01230592140128852
2021-02-23 14:00:00,0.022464828135276237,76.01019576986054,745.3642920833955,23.55225149822982,1.5727324149309978,-3.0050732403262375,0.5644918368071143,0.020605310569896035,0.042843493296683084,0.015729816746709147,0.012307390868999407
2021-02-23 14:20:00,0.022459696278808863,76.00826101193945,745.3714406320644,23.508461160891894,1.5732284436710062,-3.0146007739014493,0.5658941328082414,0.0205447067688859,0.04288000385792176,0.01571931914855299,0.012309348006267644
2021-02-23 14:40:00,0.022454586452461654,76.00651517105611,745.3791917149983,23.465113879883607,1.5737278104914862,-3.024118512790145,0.567588519197839,0.020511562062955506,0.04303007589847994,0.015718027943096485,0.012311683755207884
2021-02-23 15:00:00,0.022449499603004793,76.004958506523,745.3875304384532,23.422211485347265,1.5742305139570938,-3.0336261928851354,0.5694791572125727,0.020499819451058228,0.043298603024724686,0.015726676883620744,0.012314199257622786
2021-02-23 15:20:00,0.022444436676359106,76.00359127244288,745.3964418255182,23.37975579870195,1.5747365525641526,-3.0431235503407637,0.5714856031221084,0.020505617401325636,0.043685449461149196,0.015745586913799677,0.012316629564533886
2021-02-23 15:40:00,0.022439398617605952,76.00241371775311,745.4059108273607,23.337748632413426,1.5752459247400057,-3.052610321597083,0.5735526653293943,0.0205275410290163,0.044185175388994656,0.015774608506652802,0.012318674894622635
