ds,Осадки,Влажность,Давление,Направление ветра,Скорость ветра,Температура,NO2,NO,PM10,CO
2021-02-24 16:40:00,0.10233301326447428,78.93299487998098,755.5160809888249,171.3974074799774,1.5891819916025642,-2.6473992933645167,0.06146411208094027,0.032299432200485485,0.029998658808377706,0.1287676278835954
2021-02-24 17:00:00,0.10222559591778883,78.94602092975552,755.5315931037962,171.46439133418755,1.5900372060670116,-2.6554012763828005,0.061822867323747144,0.031901134590872654,0.030183096952737576,0.12806197645843023
2021-02-24 17:20:00,0.10211747851846488,78.95920133537922,755.5469548142087,171.53161279132786,1.5908986379306078,-2.6633740590935666,0.062200209356639745,0.031471447858108105,0.030355986841087226,0.12777886271249883
2021-02-24 17:40:00,0.10200866418262697,78.97253590605605,755.5621686871309,171.59906920892095,1.5917662623182283,-2.671317417868103,0.06259862014200349,0.031022853009444573,0.030516215687928085,0.12815576111430127
2021-02-24 18:00:00,0.10189915603863,78.98602444674339,755.5772375203168,171.66675793471668,1.5926400541976493,-2.6792311298059817,0.06301944783246646,0.03056960058986108,0.030668579983025038,0.12937408009626347
2021-02-24 18:20:00,0.10178895722724146,78.99966675814976,755.5921643339292,171.73467630657032,1.5935199883779019,-2.6871149727210106,0.06346188800313038,0.030125978573291454,0.0308225759642982,0.13153099026862053
2021-02-24 18:40:00,0.10167807090140911,79.01346263675109,755.606952362172,171.8028216527645,1.5944060395120276,-2.6949687251633394,0.06392223699535615,0.029704675306881635,0.030990583364578737,0.1346213343471548
2021-02-24 19:00:00,0.10156650022606555,79.02741187482131,755.6216050447473,171.87119129211254,1.5952981820987118,-2.7027921664241132,0.06439350920746877,0.029315440977425666,0.031185678804961738,0.13853190330597367
2021-02-24 19:20:00,0.10145424837836102,79.04151426036722,755.636126018138,171.93978253386084,1.596196390479933,-2.7105850765246835,0.0648654622227495,0.02896420402258682,0.03141935704396555,0.14304882531828972
2021-02-24 19:40:00,0.1013413185471548,79.0557695772121,755.6505191068072,172.00859267804574,1.5971006388458342,-2.7183472362400902,0.06532502225904434,0.0286527335787719,0.031699446480933494,0.14787719410200223
2021-02-24 20:00:00,0.10122771393328267,79.07017760494065,755.6647883142817,172.07761901528147,1.5980109012323545,-2.7260784270851666,0.06575705394399246,0.02837886417365597,0.03202847915125228,0.15267056023923936
2021-02-24 20:20:00,0.10111343774916032,79.08473811893893,755.6789378140595,172.14685882726258,1.5989271515249157,-2.733778431334187,0.06614537878565024,0.02813722415008739,0.03240271836634694,0.15706670712181273
2021-02-24 20:40:00,0.10099849321899146,79.0994508903837,755.6929719405249,172.2163093865077,1.5998493634565156,-2.741447032022057,0.06647392049059604,0.027920344351708738,0.0328119662017384,0.16072537814932267
2021-02-24 21:00:00,0.10088288357840135,79.11431568625224,755.7068951796678,172.2859679566458,1.600777510611195,-2.749084012939755,0.06672784533310504,0.02771997656127794,0.033240178116883415,0.16336340477532024
2021-02-24 21:20:00,0.10076661207455,79.12933226933208,755.7207121598425,172.35583179261673,1.6017115664238861,-2.7566891586501265,0.0668945727729167,0.027528427881826807,0.033666814567609976,0.1647830301245829
2021-02-24 21:40:00,0.10064968196589087,79.14450039819948,755.7344276423398,172.42589814040554,1.6026515041803027,-2.764262254482963,0.06696455400808422,0.027339720357387583,0.0340687712533143,0.16489008562281884
2021-02-24 22:00:00,0.10053209652213793,79.15981982727557,755.7480465120371,172.4961642375974,1.6035972970203967,-2.7718030865518006,0.0669317507231228,0.027150413936521157,0.034422661122767886,0.1636999500370116
2021-02-24 22:20:00,0.10041385902418568,79.17529030679384,755.7615737678983,172.56662731318053,1.6045489179369352,-2.779311441744019,0.0667937880815846,0.026959981349730835,0.03470718051061253,0.1613307432294797
2021-02-24 22:40:00,0.10029497276392058,79.19091158281304,755.7750145135216,172.63728458781372,1.6055063397782376,-2.786787107736778,0.06655179930704014,0.02677068878504731,0.034905283460073114,0.15798479169036905
2021-02-24 23:00:00,0.10017544104431154,79.20668339721657,755.7883739476133,172.70813327378116,1.6064695352471,-2.7942298729911386,0.06621001820713858,0.02658700769805878,0.035005913105565625,0.1539208531852576
2021-02-24 23:20:00,0.10005526717905038,79.22260548774574,755.8016573545026,172.77917057526656,1.6074384769040022,-2.8016395267702263,0.06577520557858373,0.02641465114933608,0.03500509369121148,0.1494207237780593
2021-02-24 23:40:00,0.099934454492802,79.23867758797945,755.8148700946097,172.8503936883607,1.608413137166705,-2.809015859124398,0.06525601177534901,0.026259383639486926,0.03490626448944914,0.14475453125414595
2021-02-25 00:00:00,0.09981300632063148,79.25489942734924,755.8280175949983,172.921799801161,1.6093934883113983,-2.8163586609195272,0.06466237880273247,0.026125788973373136,0.0347198279884075,0.1401491595890707
2021-02-25 00:20:00,0.0996909260084582,79.27127073113564,755.8411053398936,172.99338609394934,1.6103795024740157,-2.8236677238198933,0.06400507116714119,0.026016191262161054,0.03446197807308591,0.1357638315209999
2021-02-25 00:40:00,0.09956821691256043,79.2877912205004,755.8541388612491,173.0651497391778,1.6113711516505966,-2.830942840299466,0.06329539744447273,0.025929907972821433,0.03415295819920098,0.13167595108431016
2021-02-25 01:00:00,0.099444882399508,79.30446061248166,755.8671237294116,173.13708790183168,1.6123684076998595,-2.838183803656471,0.06254514801496808,0.02586297263741641,0.03381496459804717,0.12787898897458633
2021-02-25 01:20:00,0.09932092584632234,79.32127861996449,755.880065543775,173.2091977391193,1.6133712423411586,-2.8453904080003243,0.06176673378804286,0.02580840337080703,0.033469947616637324,0.12429264348524162
2021-02-25 01:40:00,0.09919635064009763,79.33824495176395,755.8929699235509,173.28147640108622,1.6143796271592512,-2.8525624482727867,0.06097347176610373,0.025757019345355386,0.033137570996908255,0.12078392057035023
2021-02-25 02:00:00,0.09907116017811216,79.355359312551,755.9058424986049,173.35392103021456,1.61539353360206,-2.8596997202332703,0.060179931616380265,0.02569873020953789,0.032833563713805324,0.11719634630384049
2021-02-25 02:20:00,0.09894535786754186,79.3726214029197,755.9186889004203,173.4265287620281,1.6164129329835715,-2.866802020486552,0.05940223774510632,0.025624153088388054,0.03256864529689728,0.11338343290866537
2021-02-25 02:40:00,0.09881894712551563,79.3900309193623,755.9315147530781,173.49929672477614,1.6174377964842372,-2.8738691464632167,0.058658216981415254,0.02552635759055482,0.03234813024341688,0.10924190475344712
2021-02-25 03:00:00,0.09869193137887923,79.40758755428762,755.9443256644543,173.5722220398045,1.6184680951519292,-2.8809008964426646,0.05796729410699633,0.02540250866118319,0.03217222966854212,0.10474013421645162
2021-02-25 03:20:00,0.09856431406427572,79.4252909960314,755.9571272174552,173.645301821586,1.6195037999030255,-2.887897069543338,0.057350065258505015,0.025255174861956584,0.032036979702436,0.09993775242424602
2021-02-25 03:40:00,0.09843609862796604,79.4431409288586,755.9699249614472,173.718533177823,1.6205448815229841,-2.8948574657417625,0.056827519652565855,0.0250930969929639,0.03193564737524918,0.0949934295053125
2021-02-25 04:00:00,0.09830728852550712,79.46113703296434,755.9827244037723,173.7919132095042,1.6215913106684388,-2.901781885858777,0.0564199283951233,0.024931266512830084,0.03186040564331019,0.09015924278342528
2021-02-25 04:20:00,0.0981778872221119,79.4792789845069,755.9955310014824,173.86543901127874,1.622643057867883,-2.9086701315730794,0.05614546934566449,0.024790239156415875,0.03180403713766556,0.08576169939646883
2021-02-25 04:40:00,0.09804789819207838,79.49756645558142,756.0083501531566,173.93910767108468,1.6237000935210173,-2.9155220054372846,0.05601870264609097,0.024694697896469896,0.03176142513720002,0.08217115323587135
2021-02-25 05:00:00,0.09791732491906824,79.51599911425772,756.0211871909639,174.01291627080928,1.6247623879024542,-2.9223373108527815,0.05604904645761185,0.02467137058421586,0.031730620306958224,0.0797628510792489
2021-02-25 05:20:00,0.09778617089568281,79.53457662457323,756.0340473728463,174.08686188599515,1.6258299111609587,-2.929115852105463,0.056239421595558205,0.02474649029832216,0.03171332914137209,0.07887397471118081
2021-02-25 05:40:00,0.0976544396236683,79.55329864654293,756.0469358749111,174.16094158607743,1.62690263332095,-2.9358574343454036,0.05658523381790461,0.02494305045277067,0.031714747642921835,0.07976167261502638
2021-02-25 06:00:00,0.09752213461356228,79.5721648361832,756.0598577840475,174.23515243464627,1.6279805242835652,-2.9425618636082644,0.05707384239213608,0.025278143882315123,0.03174275183570693,0.08256711335738465
2021-02-25 06:20:00,0.09738925938472683,79.5911748454906,756.0728180906923,174.30949148930176,1.6290635538278349,-2.9492289468039177,0.057684624545939096,0.02576068024915553,0.03180654419677531,0.08729003039512165
2021-02-25 06:40:00,0.09725581746529718,79.61032832246215,756.0858216818372,174.3839558019215,1.6301516916111791,-2.955858491731317,0.05838969112093474,0.026389747697577282,0.031914930928338005,0.09377712360773242
2021-02-25 07:00:00,0.09712181239186153,79.62962491114325,756.0988733342695,174.45854241882174,1.6312449071715514,-2.962450307085203,0.05915524476123616,0.027153825121746487,0.03207445950583438,0.10172616090712971
2021-02-25 07:20:00,0.09698724770970175,79.64906425156634,756.1119777080122,174.53324838067815,1.6323431699268225,-2.9690042024426884,0.05994350518606593,0.02803096680004666,0.03228767200333506,0.11070585907230723
2021-02-25 07:40:00,0.09685212697222269,79.66864597982136,756.1251393399896,174.6080707228251,1.6334464491778462,-2.97551998828993,0.06071506398312749,0.02898998060810354,0.03255172366576636,0.12018982218983956
