ds,Осадки,Влажность,Давление,Направление ветра,Скорость ветра,Температура,CO,NO,PM10,PM2.5,NO2
2021-02-21 12:00:00,0.034025208781256755,71.8569691480406,765.924909542924,88.26410888925602,0.4529456711672982,-1.1190892400684174,0.5429551713665907,0.009480367449091929,0.054391405951892215,0.02941271591486042,0.046878513084428114
2021-02-21 12:20:00,0.034038437088004775,71.83838524831452,765.8604226312242,88.26518777266676,0.45252451530120624,-1.1271650740677321,0.5407584127586673,0.009230344788747331,0.05385690600289339,0.029233076735384673,0.046326853733697076
2021-02-21 12:40:00,0.034051420258431456,71.81988387141122,765.7951696193816,88.26609925427411,0.4521038276643289,-1.13526994802936,0.5394041355629443,0.00902294235542981,0.05330907465731645,0.029056597902237462,0.04581982556901476
2021-02-21 13:00:00,0.03406415864728463,71.80146566679778,765.7291668596895,88.26684343899532,0.4516836170316389,-1.14340361309117,0.5388514729396813,0.00885099563539279,0.052774328275235045,0.028886747342688028,0.04537712958595546
2021-02-21 13:20:00,0.03407665261568031,71.78313128204674,765.662431098736,88.26742043491706,0.45126389214745216,-1.1515658198351018,0.5389638495233615,0.008703575412224355,0.052276932409783726,0.02872628307373637,0.045011643036886234
2021-02-21 13:40:00,0.03408890253116534,71.7648813628168,765.5949794709001,88.26783035317419,0.45084466172282806,-1.1597563183032227,0.5395313163287122,0.008567569273767344,0.0518369585804893,0.028577061443226616,0.04472920892770701
2021-02-21 14:00:00,0.03410090876783127,71.7467165528786,765.5268294916998,88.26807330804506,0.45042593443763035,-1.1679748579905436,0.5403002800386582,0.008429363607153966,0.05146874260102233,0.02843996069636246,0.04452915606134696
2021-02-21 14:20:00,0.034112671706066154,71.72863749401101,765.4579990506821,88.26814941685868,0.4500077189382142,-1.176221187869717,0.541007214639618,0.008276446210692857,0.05118000247724463,0.028314928048004815,0.04440545472136084
2021-02-21 14:40:00,0.03412419173269042,71.71064482606067,765.3885064042167,88.26805879990253,0.44959002383802127,-1.1844950563684202,0.5414125718351617,0.00809877067735896,0.050971695964642544,0.028201143076777575,0.0443483456265176
2021-02-21 15:00:00,0.03413546924089981,71.69273918685492,765.3183701677873,88.26780158058149,0.44917285771667703,-1.1927962114124062,0.5413311551419824,0.007889760751387144,0.05083861117702723,0.02809727565244275,0.04434623184845676
2021-02-21 15:20:00,0.0341465046302881,71.67492121225676,765.247609308209,88.26737788520258,0.4487562291203876,-1.2011244003912651,0.5406556800153779,0.007646880862146252,0.050770598511215445,0.028001804572558957,0.04438760020504007
2021-02-21 15:40:00,0.034157298306668776,71.65719153606675,765.1762431354258,88.26678784312304,0.44834014656098314,-1.2094793701984354,0.5393710519903481,0.007371751887649276,0.050754278682783247,0.027913355112693466,0.04446274254667633
2021-02-21 16:00:00,0.0341678506822686,71.63955079005787,765.104291294017,88.26603158653995,0.4479246185153586,-1.2178608672081896,0.5375579606888693,0.007069842503095544,0.050775008552337124,0.027831010811381875,0.04456507752756157
2021-02-21 16:20:00,0.03417816217555301,71.62199960393244,765.0317737545911,88.26510925065239,0.44750965342591686,-1.2262686373052478,0.5353855862871378,0.006749810329171966,0.0508188598690485,0.027754557419447386,0.04469192604686009
2021-02-21 16:40:00,0.03418823321131329,71.6045386053143,764.9587108046653,88.2640209735464,0.4470952596993409,-1.2347024258773471,0.5330944099349255,0.006422598764794774,0.050874369092585234,0.027684624786143728,0.04484466214732519
2021-02-21 17:00:00,0.03419806422055812,71.58716841970592,764.885123039602,88.26276689611115,0.44668144570671864,-1.243161977816646,0.5309711770730522,0.006100411876775475,0.05093384853303999,0.027622704638475368,0.04502823757146123
2021-02-21 17:20:00,0.03420765564051941,71.56988967048972,764.8110313528938,88.26134716214281,0.4462682197829012,-1.2516470375468511,0.5293188668119806,0.005795689998901218,0.05099410614971443,0.027571037301210112,0.04525015339205565
2021-02-21 17:40:00,0.03421700791468412,71.5527029789258,764.7364569266409,88.25976191825731,0.4458555902268212,-1.2601573489958318,0.5284249871974881,0.005520193846649526,0.051056496454259435,0.027532376612091847,0.04551901738853885
2021-02-21 18:00:00,0.034226121492668765,71.53560896407036,764.6614212213191,88.25801131382616,0.4454435652999264,-1.268692655635376,0.5285316011595532,0.005284277888297656,0.05112630891376174,0.027509657658328426,0.045842873659241334
2021-02-21 18:20:00,0.03423499683033706,71.51860824282699,764.5859459657189,88.256095501084,0.44503215322725875,-1.2772527004657013,0.52981019216703,0.00509639879613445,0.05121158284892135,0.02750560463675584,0.04622751599619908
2021-02-21 18:40:00,0.03424363438963148,71.50170142988978,764.5100531464487,88.25401463487432,0.4446213621957651,-1.2858372260186393,0.5323438466514924,0.004962867186088552,0.05132150907204488,0.027522324557264825,0.04667499623161383
2021-02-21 19:00:00,0.034252034638652215,71.48488913770892,764.4337649970528,88.25176887292629,0.44421120035497785,-1.2944459743903902,0.5361183446071075,0.00488781585969519,0.051464629804296405,0.02756093560867509,0.047182513512170496
2021-02-21 19:20:00,0.034260198051644694,71.46817197652999,764.3571039873547,88.24935837554145,0.44380167581569996,-1.30307868720924,0.5410227202251712,0.0048733301186820194,0.051647073585904514,0.027621276348914522,0.04774182366374023
2021-02-21 19:40:00,0.03426812510886606,71.45155055429426,764.2800928120897,88.24678330577783,0.4433927966507734,-1.311735105671282,0.5468588044824476,0.004919668987646208,0.05187105794767566,0.027701733712467484,0.04833924534402616
2021-02-21 20:00:00,0.03427581629667539,71.43502547670008,764.2027543797274,88.24404382931641,0.4429845708937846,-1.3204149705340553,0.553358313663792,0.005025502299483918,0.0521338600777325,0.027799215050441813,0.04895626918301812
2021-02-21 20:20:00,0.0342832721074791,71.4185973471215,764.1251118007729,88.2411401144665,0.4425770065391498,-1.3291180221201637,0.5602053086832429,0.005188097641139547,0.05242739858729623,0.027909273487123184,0.04957070608565438
2021-02-21 20:40:00,0.03429049303967288,71.40226676662265,764.0471883761804,88.23807233217279,0.4421701115418551,-1.3378440003297936,0.567061398272028,0.005403411370931801,0.052738494707375745,0.02802637862784215,0.05015824959230909
2021-02-21 21:00:00,0.034297479597721774,71.38603433392693,763.969007585235,88.234840655872,0.44176389381639436,-1.3465926446396672,0.573590936527847,0.005666065948717993,0.053049797930181775,0.02814430809451038,0.05069428179918323
2021-02-21 21:20:00,0.03430423229193248,71.36990064539789,763.890593073671,88.23144526171464,0.44135836123789685,-1.3553636941204283,0.5794836724089145,0.005969227199041633,0.05334127934446836,0.028256621425824004,0.051155727906780135
2021-02-21 21:40:00,0.034310751638706546,71.35386629503998,763.8119686412443,88.2278863282154,0.44095352164017754,-1.3641568874211751,0.5844728063162781,0.006304424881699388,0.053592125635152456,0.02835716820076055,0.051522763515417604
2021-02-21 22:00:00,0.03431703816030101,71.3379318744366,763.7331582292774,88.22416403649802,0.44054938281604705,-1.3729719628012305,0.588347122520436,0.006661383255462328,0.05378281642345365,0.02844057796011411,0.051780200901928364
2021-02-21 22:20:00,0.03432309238486432,71.32209797278014,763.6541859082286,88.22027857016062,0.4401459525178066,-1.3818086581153413,0.5909566977982452,0.007027941230076343,0.05389714342950794,0.02850268113104124,0.05191842256069379
2021-02-21 22:40:00,0.03432891484647285,71.30636517682176,763.575075864773,88.21623011522558,0.4397432384550498,-1.3906667108336714,0.592212525788696,0.007390141631576506,0.05392393477604315,0.028540817523409416,0.051933786721853226
2021-02-21 23:00:00,0.034334506085032496,71.2907340708517,763.4958523890625,88.21201886012679,0.4393412482961123,-1.3995458580299562,0.5920811352113511,0.0077325552424843715,0.05385828104382892,0.02855400121569459,0.0518284931730741
2021-02-21 23:20:00,0.034339866646311334,71.27520523670516,763.41653986166,88.20764499578331,0.4389399896668935,-1.4084458364117882,0.5905758263653409,0.008038878780973632,0.0537021174426063,0.02854292637192566,0.051609960576015454
